task_id,surface,adsorbate,seed,calculator
149,Pt100,ethane,2,sevennet_omni
150,Pt100,propane,0,sevennet_omni
151,Pt100,propane,1,sevennet_omni
152,Pt100,propane,2,sevennet_omni
153,Pt100,propene,0,sevennet_omni
154,Pt100,propene,1,sevennet_omni
155,Pt100,propene,2,sevennet_omni
156,Pt100,propanol,0,sevennet_omni
157,Pt100,propanol,1,sevennet_omni
158,Pt100,propanol,2,sevennet_omni
159,Pt100,glycerol,0,sevennet_omni
160,Pt100,glycerol,1,sevennet_omni
161,Pt100,glycerol,2,sevennet_omni
162,Pd111,isopropanol,0,sevennet_omni
163,Pd111,isopropanol,1,sevennet_omni
164,Pd111,isopropanol,2,sevennet_omni
165,Pd111,CO2,0,sevennet_omni
166,Pd111,CO2,1,sevennet_omni
167,Pd111,CO2,2,sevennet_omni
168,Pd111,ethanol,0,sevennet_omni
169,Pd111,ethanol,1,sevennet_omni
170,Pd111,ethanol,2,sevennet_omni
171,Pd111,ethene,0,sevennet_omni
172,Pd111,ethene,1,sevennet_omni
173,Pd111,ethene,2,sevennet_omni
174,Pd111,ethane,0,sevennet_omni
175,Pd111,ethane,1,sevennet_omni
176,Pd111,ethane,2,sevennet_omni
177,Pd111,propane,0,sevennet_omni
178,Pd111,propane,1,sevennet_omni
179,Pd111,propane,2,sevennet_omni
180,Pd111,propene,0,sevennet_omni
181,Pd111,propene,1,sevennet_omni
182,Pd111,propene,2,sevennet_omni
183,Pd111,propanol,0,sevennet_omni
184,Pd111,propanol,1,sevennet_omni
185,Pd111,propanol,2,sevennet_omni
186,Pd111,glycerol,0,sevennet_omni
187,Pd111,glycerol,1,sevennet_omni
188,Pd111,glycerol,2,sevennet_omni
189,Pd110,isopropanol,0,sevennet_omni
190,Pd110,isopropanol,1,sevennet_omni
191,Pd110,isopropanol,2,sevennet_omni
192,Pd110,CO2,0,sevennet_omni
193,Pd110,CO2,1,sevennet_omni
194,Pd110,CO2,2,sevennet_omni
195,Pd110,ethanol,0,sevennet_omni
196,Pd110,ethanol,1,sevennet_omni
197,Pd110,ethanol,2,sevennet_omni
198,Pd110,ethene,0,sevennet_omni
199,Pd110,ethene,1,sevennet_omni
200,Pd110,ethene,2,sevennet_omni
201,Pd110,ethane,0,sevennet_omni
202,Pd110,ethane,1,sevennet_omni
203,Pd110,ethane,2,sevennet_omni
204,Pd110,propane,0,sevennet_omni
205,Pd110,propane,1,sevennet_omni
206,Pd110,propane,2,sevennet_omni
207,Pd110,propene,0,sevennet_omni
208,Pd110,propene,1,sevennet_omni
209,Pd110,propene,2,sevennet_omni
210,Pd110,propanol,0,sevennet_omni
211,Pd110,propanol,1,sevennet_omni
212,Pd110,propanol,2,sevennet_omni
213,Pd110,glycerol,0,sevennet_omni
214,Pd110,glycerol,1,sevennet_omni
215,Pd110,glycerol,2,sevennet_omni
216,Pd100,isopropanol,0,sevennet_omni
217,Pd100,isopropanol,1,sevennet_omni
218,Pd100,isopropanol,2,sevennet_omni
219,Pd100,CO2,0,sevennet_omni
220,Pd100,CO2,1,sevennet_omni
221,Pd100,CO2,2,sevennet_omni
222,Pd100,ethanol,0,sevennet_omni
223,Pd100,ethanol,1,sevennet_omni
224,Pd100,ethanol,2,sevennet_omni
225,Pd100,ethene,0,sevennet_omni
226,Pd100,ethene,1,sevennet_omni
227,Pd100,ethene,2,sevennet_omni
228,Pd100,ethane,0,sevennet_omni
229,Pd100,ethane,1,sevennet_omni
230,Pd100,ethane,2,sevennet_omni
231,Pd100,propane,0,sevennet_omni
232,Pd100,propane,1,sevennet_omni
233,Pd100,propane,2,sevennet_omni
234,Pd100,propene,0,sevennet_omni
235,Pd100,propene,1,sevennet_omni
236,Pd100,propene,2,sevennet_omni
237,Pd100,propanol,0,sevennet_omni
238,Pd100,propanol,1,sevennet_omni
239,Pd100,propanol,2,sevennet_omni
240,Pd100,glycerol,0,sevennet_omni
241,Pd100,glycerol,1,sevennet_omni
242,Pd100,glycerol,2,sevennet_omni
243,Ni111,isopropanol,0,sevennet_omni
244,Ni111,isopropanol,1,sevennet_omni
245,Ni111,isopropanol,2,sevennet_omni
246,Ni111,CO2,0,sevennet_omni
247,Ni111,CO2,1,sevennet_omni
248,Ni111,CO2,2,sevennet_omni
249,Ni111,ethanol,0,sevennet_omni
250,Ni111,ethanol,1,sevennet_omni
251,Ni111,ethanol,2,sevennet_omni
252,Ni111,ethene,0,sevennet_omni
253,Ni111,ethene,1,sevennet_omni
254,Ni111,ethene,2,sevennet_omni
255,Ni111,ethane,0,sevennet_omni
256,Ni111,ethane,1,sevennet_omni
257,Ni111,ethane,2,sevennet_omni
258,Ni111,propane,0,sevennet_omni
259,Ni111,propane,1,sevennet_omni
260,Ni111,propane,2,sevennet_omni
261,Ni111,propene,0,sevennet_omni
262,Ni111,propene,1,sevennet_omni
263,Ni111,propene,2,sevennet_omni
264,Ni111,propanol,0,sevennet_omni
265,Ni111,propanol,1,sevennet_omni
266,Ni111,propanol,2,sevennet_omni
267,Ni111,glycerol,0,sevennet_omni
268,Ni111,glycerol,1,sevennet_omni
269,Ni111,glycerol,2,sevennet_omni
270,Ni110,isopropanol,0,sevennet_omni
271,Ni110,isopropanol,1,sevennet_omni
