task_id,surface,adsorbate,seed,calculator,state,E_ads_eV,E_ads_pre_relax_eV,best_seed,run_dir,started_at,finished_at
251,Pt110,propane,5,sevennet_omni,finished,-0.5525550842285156,-0.5224952697753906,5,/home/jcho5/goad-global-optimization/runs/Pt110_propane_seed5_sevennet_omni,2026-06-19T02:25:42.054282,2026-06-19T02:45:23.902236
252,Pt110,glycerol,0,sevennet_omni,finished,-0.9651336669921875,-0.7541351318359375,0,/home/jcho5/goad-global-optimization/runs/Pt110_glycerol_seed0_sevennet_omni,2026-06-20T01:04:34.568478,2026-06-20T02:00:05.334661
252,Pt110,propene,0,sevennet_omni,finished,-1.6864089965820312,-1.1340103149414062,0,/home/jcho5/goad-global-optimization/runs/Pt110_propene_seed0_sevennet_omni,2026-06-19T02:25:49.924871,2026-06-19T02:44:52.496318
253,Pt110,glycerol,1,sevennet_omni,finished,-0.8953781127929688,-0.7532882690429688,1,/home/jcho5/goad-global-optimization/runs/Pt110_glycerol_seed1_sevennet_omni,2026-06-20T01:04:54.362042,2026-06-20T01:57:48.042456
253,Pt110,propene,1,sevennet_omni,finished,-1.6952247619628906,-1.1647377014160156,1,/home/jcho5/goad-global-optimization/runs/Pt110_propene_seed1_sevennet_omni,2026-06-19T02:25:52.435431,2026-06-19T02:44:17.538136
254,Pt110,glycerol,2,sevennet_omni,finished,-0.8857040405273438,-0.7898788452148438,2,/home/jcho5/goad-global-optimization/runs/Pt110_glycerol_seed2_sevennet_omni,2026-06-20T01:28:43.701350,2026-06-20T02:22:57.164109
254,Pt110,propene,2,sevennet_omni,finished,-1.7052345275878906,-1.1681251525878906,2,/home/jcho5/goad-global-optimization/runs/Pt110_propene_seed2_sevennet_omni,2026-06-19T02:26:09.990696,2026-06-19T02:44:50.246725
255,Pt110,glycerol,3,sevennet_omni,finished,-0.8795089721679688,-0.7782516479492188,3,/home/jcho5/goad-global-optimization/runs/Pt110_glycerol_seed3_sevennet_omni,2026-06-20T01:29:18.072062,2026-06-20T02:23:06.704475
255,Pt110,propene,3,sevennet_omni,finished,-1.6702613830566406,-1.1098060607910156,3,/home/jcho5/goad-global-optimization/runs/Pt110_propene_seed3_sevennet_omni,2026-06-19T02:26:12.488129,2026-06-19T02:44:14.017874
256,Pt110,glycerol,4,sevennet_omni,finished,-0.9287033081054688,-0.7522201538085938,4,/home/jcho5/goad-global-optimization/runs/Pt110_glycerol_seed4_sevennet_omni,2026-06-20T01:46:32.511899,2026-06-20T02:41:37.587869
256,Pt110,propene,4,sevennet_omni,finished,-1.6881446838378906,-1.1294898986816406,4,/home/jcho5/goad-global-optimization/runs/Pt110_propene_seed4_sevennet_omni,2026-06-19T02:26:50.148730,2026-06-19T02:45:27.948815
257,Pt110,glycerol,5,sevennet_omni,finished,-0.9314727783203125,-0.7696990966796875,5,/home/jcho5/goad-global-optimization/runs/Pt110_glycerol_seed5_sevennet_omni,2026-06-20T01:46:32.513854,2026-06-20T02:41:20.692742
257,Pt110,propene,5,sevennet_omni,finished,-1.6979103088378906,-1.1372718811035156,5,/home/jcho5/goad-global-optimization/runs/Pt110_propene_seed5_sevennet_omni,2026-06-19T02:27:10.493434,2026-06-19T02:44:23.080309
264,Pt110,propanol,0,sevennet_omni,finished,-0.8253555297851562,-0.6767349243164062,0,/home/jcho5/goad-global-optimization/runs/Pt110_propanol_seed0_sevennet_omni,2026-06-20T01:52:30.914358,2026-06-20T02:33:38.107981
