system,surface,molecule,E_slab_mol,E_slab,E_mol,E_ads,status,note
Pd111_propanol,Pd111,propanol,-343.69247904,-280.68504082,-62.58875972,-0.41867850000004125,ok,
Pd111_propene,Pd111,propene,-329.38587652,-280.68504082,-48.11109027,-0.5897454300000291,ok,
Pt100_CO2,Pt100,CO2,-347.44052706,-324.91076929,-22.27269325,-0.2570645200000037,ok,
Pt100_ethane,Pt100,ethane,-365.40369486,-324.91076929,-40.26480271,-0.22812285999995652,ok,
Pt100_ethanol,Pt100,ethanol,-371.54172451,-324.91076929,-46.33222241,-0.29873280999997576,ok,
Pt100_ethene,Pt100,ethene,-357.68539065,-324.91076929,-31.66817676,-1.1064445999999677,ok,
Pt100_glycerol,Pt100,glycerol,-400.07193885,-324.91076929,-74.80566628,-0.3555032799999651,ok,
Pt100_isopropanol,Pt100,isopropanol,-387.90662335,-324.91076929,-62.72253435,-0.27331971000000266,ok,
Pt100_propane,Pt100,propane,-381.68013608,-324.91076929,-56.54101126,-0.22835552999999464,ok,
Pt100_propanol,Pt100,propanol,-387.80156827,-324.91076929,-62.58875972,-0.3020392600000008,ok,
Pt100_propene,Pt100,propene,-374.11679145,-324.91076929,-48.11109027,-1.0949318899999767,ok,
Pt110_CO2,Pt110,CO2,-336.13220889,-313.47086564,-22.27269325,-0.38865000000001615,ok,
Pt110_ethane,Pt110,ethane,-354.06817788,-313.47086564,-40.26480271,-0.33250953000001005,ok,
Pt110_ethanol,Pt110,ethanol,-360.31060996,-313.47086564,-46.33222241,-0.5075219100000226,ok,
Pt110_ethene,Pt110,ethene,-346.73592565,-313.47086564,-31.66817676,-1.5968832500000119,ok,
Pt110_glycerol,Pt110,glycerol,-388.77235963,-313.47086564,-74.80566628,-0.49582770999998615,ok,
Pt110_isopropanol,Pt110,isopropanol,-376.69944011,-313.47086564,-62.72253435,-0.5060401200000157,ok,
Pt110_propane,Pt110,propane,-370.26060615,-313.47086564,-56.54101126,-0.2487292500000038,ok,
Pt110_propanol,Pt110,propanol,-376.55660939,-313.47086564,-62.58875972,-0.49698403000000724,ok,
Pt110_propene,Pt110,propene,-362.75505227,-313.47086564,-48.11109027,-1.1730963600000237,ok,
Pt111_CO2,Pt111,CO2,-355.59858932,-332.50255866,-22.27269325,-0.823337409999997,ok,
Pt111_ethane,Pt111,ethane,-373.55173669,-332.50255866,-40.26480271,-0.7843753200000094,ok,
Pt111_ethanol,Pt111,ethanol,-379.64187039,-332.50255866,-46.33222241,-0.8070893200000313,ok,
Pt111_ethene,Pt111,ethene,-365.35999482,-332.50255866,-31.66817676,-1.1892594000000187,ok,
Pt111_glycerol,Pt111,glycerol,-408.2467045,-332.50255866,-74.80566628,-0.9384795600000473,ok,
Pt111_isopropanol,Pt111,isopropanol,-396.05323948,-332.50255866,-62.72253435,-0.8281464700000285,ok,
Pt111_propane,Pt111,propane,-389.82323008,-332.50255866,-56.54101126,-0.7796601599999988,ok,
Pt111_propanol,Pt111,propanol,-395.91827347,-332.50255866,-62.58875972,-0.8269550899999984,ok,
Pt111_propene,Pt111,propene,-381.96364146,-332.50255866,-48.11109027,-1.3499925300000442,ok,
